Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Carter Jensen","KCR",0.333333333,1.375,0.208333333,0.458333333,0.333333333,0.0625,0.1875,0,0,0,0,0.45833333,0.29166667,0.25,0.08333333,0.375,0.54166667,"Carter Jensen",29478,695600
"Giancarlo Stanton","NYY",0.338461538,0.736111111,0.188311688,0.344155844,0.467532467,0.125,0.333333333,4,0.075471698,0,0,0.46753247,0.24675325,0.28571429,0.18181818,0.33116883,0.48701299,"Giancarlo Stanton",4949,519317
"Maximo Acosta","MIA",0.235294117,1.2,0.108108108,0.486486486,0.405405405,0,0.2,1,0.055555555,0,0,0.51351351,0.35135135,0.13513514,0.10810811,0.40540541,0.48648649,"Maximo Acosta",27963,691185
"Joey Wiemer","MIA",0.322580645,1.5,0.264705882,0.44117647,0.294117647,0,0.3,1,0.066666666,0,0,0.58823529,0.26470588,0.14705882,0.08823529,0.44117647,0.47058824,"Joey Wiemer",27690,686894
"Tyler Locklear","ARI",0.263157894,1.894736842,0.083333333,0.6,0.316666666,0,0.157894736,1,0.027777777,0,0,0.48333333,0.31666667,0.2,0.11666667,0.41666667,0.46666667,"Tyler Locklear",31396,682988
"Aaron Judge","NYY",0.376119402,0.733333333,0.195876288,0.340206185,0.463917525,0.066666666,0.294444444,6,0.045454545,0,0,0.36597938,0.37371134,0.26030928,0.09793814,0.44587629,0.45618557,"Aaron Judge",15640,592450
"Kyle Schwarber","PHI",0.252840909,0.709183673,0.178921568,0.340686274,0.480392156,0.12755102,0.285714285,4,0.028776978,0,0,0.55882353,0.27696078,0.16421569,0.15441176,0.39215686,0.45343137,"Kyle Schwarber",16478,656941
"Shohei Ohtani","LAD",0.315363881,0.893048128,0.169014084,0.392018779,0.438967136,0.053475935,0.294117647,15,0.089820359,0,0,0.45539906,0.37089202,0.17370892,0.09859155,0.44835681,0.45305164,"Shohei Ohtani",19755,660271
"Sal Stewart","CIN",0.257142857,0.882352941,0.2,0.375,0.425,0.058823529,0.294117647,3,0.2,0,0,0.5,0.3,0.2,0.075,0.475,0.45,"Sal Stewart",31505,701398
"Juan Soto","NYM",0.270471464,1.157894736,0.167042889,0.446952595,0.386004514,0.093567251,0.251461988,11,0.055555555,1,0.25,0.42058166,0.3803132,0.19910515,0.14988814,0.4049217,0.44519016,"Juan Soto",20123,665742
