Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Mason Miller","- - -",0.37241379,0.67857143,0.49588477,0.34259259,0.76315789,0.5746888,0.40329218,0.58119658,0.21068859,0.14799589,0.35868448,"Mason Miller",31757,695243
"Griffin Jax","- - -",0.40561622,0.6460177,0.50503202,0.42307692,0.83561644,0.64130435,0.41354071,0.66431095,0.18115279,0.17108875,0.35224154,"Griffin Jax",20253,643377
"Jake Bird","- - -",0.31176471,0.57399103,0.43410042,0.53459119,0.85546875,0.73253012,0.4665272,0.60080645,0.11574557,0.23044838,0.34619395,"Jake Bird",21267,656234
"Garrett Cleavinger","TBR",0.33991228,0.65947242,0.49255441,0.44516129,0.79636364,0.66976744,0.47766323,0.68312757,0.1624714,0.18077803,0.34324943,"Garrett Cleavinger",17897,664076
"Josh Hader","HOU",0.41247485,0.73428571,0.54545455,0.43414634,0.75486381,0.61255411,0.41322314,0.71359223,0.21133412,0.12868949,0.34002361,"Josh Hader",14212,623352
"Braydon Fisher","TOR",0.30977131,0.60227273,0.43337335,0.51677852,0.86792453,0.72299169,0.42256903,0.5990099,0.11976048,0.21916168,0.33892216,"Braydon Fisher",24609,680755
"Bryan Abreu","HOU",0.33967391,0.66004415,0.46173255,0.432,0.76588629,0.61384335,0.38099243,0.57432432,0.17800168,0.15952981,0.33753149,"Bryan Abreu",16609,650556
"David Bednar","- - -",0.3375,0.64224138,0.47558594,0.56084656,0.79194631,0.70225873,0.453125,0.62549801,0.14160156,0.1953125,0.33691406,"David Bednar",19569,670280
"Edwin Díaz","NYM",0.33495146,0.67037862,0.47610122,0.44444444,0.74418605,0.62204724,0.420806,0.55426357,0.17994377,0.15651359,0.33645736,"Edwin Diaz",14710,621242
"Phil Maton","- - -",0.33913043,0.63741339,0.4672619,0.53846154,0.75724638,0.66666667,0.42956349,0.59274194,0.1555996,0.17938553,0.33498513,"Phil Maton",18064,664208
"Andrés Muñoz","SEA",0.33064516,0.6626506,0.46376812,0.47317073,0.78545455,0.65208333,0.40096618,0.59448819,0.16135266,0.17294686,0.33429952,"Andres Munoz",20373,662253
