Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Martín Maldonado","SDP",0.34899329,0.54444444,0.44190141,0.39423077,0.78911565,0.62549801,0.47535211,0.67701863,0.16462347,0.22591944,0.39054291,"Martin Maldonado",6887,455117
"Jerar Encarnacion","SFG",0.35869565,0.66666667,0.51351351,0.42424242,0.82258065,0.68421053,0.5027027,0.625,0.16216216,0.22162162,0.38378378,"Jerar Encarnacion",21871,666464
"Kyren Paris","LAA",0.32278481,0.70562771,0.48446069,0.3627451,0.66871166,0.5509434,0.42230347,0.67142857,0.21715328,0.15328467,0.37043796,"Kyren Paris",26420,677347
"Eric Haase","MIL",0.33510638,0.64189189,0.4702381,0.52380952,0.72631579,0.64556962,0.44047619,0.5974026,0.16519174,0.19764012,0.36283186,"Eric Haase",14111,606992
"Zach Cole","HOU",0.28225806,0.65,0.44642857,0.34285714,0.75384615,0.61,0.44642857,0.59615385,0.17410714,0.1875,0.36160714,"Zach Cole",31583,805904
"Vinny Capra","- - -",0.28191489,0.61931818,0.44505495,0.50943396,0.89908257,0.77160494,0.48351648,0.7047619,0.10164835,0.25549451,0.35714286,"Vinny Capra",25040,681962
"Matthew Lugo","LAA",0.40277778,0.66326531,0.50826446,0.5,0.78461538,0.6504065,0.40495868,0.65714286,0.17768595,0.17768595,0.3553719,"Matthew Lugo",25980,683090
"Hayden Senger","NYM",0.43609023,0.6446281,0.53543307,0.48275862,0.84615385,0.69117647,0.47637795,0.71794872,0.16535433,0.18503937,0.3503937,"Hayden Senger",21489,663584
"MJ Melendez","KCR",0.33757962,0.69387755,0.4745098,0.41509434,0.79411765,0.62809917,0.38431373,0.64615385,0.17647059,0.17254902,0.34901961,"MJ Melendez",22197,669004
"Jonah Bride","- - -",0.2254902,0.464,0.33273381,0.63768116,0.85344828,0.77297297,0.44964029,0.52,0.07513417,0.27012522,0.34525939,"Jonah Bride",24703,681146
"Sam Huff","SFG",0.28455285,0.66972477,0.46551724,0.4,0.7260274,0.62037037,0.46982759,0.60344828,0.17672414,0.16810345,0.34482759,"Sam Huff",22209,669087
