Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Erik Miller","SFG",0.52074689,97.26693227,0.2219917,86.42990654,,,,,0.25726141,87.09677419,,,,,0.03319502,"Erik Miller",26252,669062
"Blake Treinen","LAD",0.41682975,95.76056338,0.47162427,84.47717842,0.11154599,91.59649123,,,,,,,,,0.02923977,"Blake Treinen",12572,595014
"Rob Zastryzny","MIL",0.44380403,91.96103896,0.14409222,80.68,0.3314121,86.29565217,,,0.02881844,81.6,0.0518732,83.61111111,,,0.02881844,"Rob Zastryzny",15094,642239
"Hunter Strickland","LAA",0.45783133,93.47368421,0.45783133,83.95394737,,,,,,,0.08433735,87.89285714,,,0.02702703,"Hunter Strickland",7836,519326
"Brennan Bernardino","BOS",0.44777911,90.79088472,0.26290516,79.27853881,0.16446579,85.87591241,,,0.12484994,79.82692308,,,,,0.02634731,"Brennan Bernardino",16835,657514
"Jonathan Loáisiga","NYY",0.60813704,96.86619718,0.16702355,86.05128205,0.03640257,93.29411765,,,0.18843683,90.28409091,,,,,0.02558635,"Jonathan Loaisiga",19753,642528
"Luke Jackson","- - -",0.34143223,94.20973783,0.4859335,87.24473684,0.00767263,90.66666667,0.16368286,84.1328125,0.00127877,87,,,,,0.02544529,"Luke Jackson",11752,592426
"Anthony Banda","LAD",0.47042254,95.93413174,0.49201878,85.92557252,,,,,0.03755869,89.95,,,,,0.02434457,"Anthony Banda",14706,607455
"Dietrich Enns","- - -",0.48987854,93.97245179,0.1659919,85.31707317,,,0.048583,77.19444444,0.29554656,84.64383562,,,,,0.02156334,"Dietrich Enns",13932,608650
"Shelby Miller","- - -",0.61985816,95.20412844,0.09219858,84.2,,,,,,,0.28794326,86.89655172,,,0.0212766,"Shelby Miller",10197,571946
"Chris Martin","TEX",0.44043887,94.62989324,0.02037618,84.84615385,0.36050157,91.42173913,,,,,0.17868339,88.47368421,,,0.02034429,"Chris Martin",11847,455119
"Carlos Estévez","KCR",0.53499521,95.90860215,0.30872483,87.36956522,,,,,0.15627996,87.90184049,,,,,0.02013423,"Carlos Estevez",14542,608032
"Luis García","- - -",0.43973214,96.98984772,0.33705357,82.89735099,0.00223214,87,,,,,0.22098214,88.67171717,,,0.02008929,"Luis Garcia",6984,472610
"Carlos Vargas","SEA",0.69041096,97.56746032,0.10593607,89.77586207,0.18812785,93.42718447,,,0.01552511,93.29411765,,,,,0.01998183,"Carlos Vargas",22915,672841
"Jake Bird","- - -",0.34309623,94.45121951,0.40585774,84.06185567,0.02405858,92.65217391,0.22698745,80.63133641,,,,,,,0.0198123,"Jake Bird",21267,656234
"Justin Wilson","BOS",0.46078431,94.50531915,0.33333333,87.97794118,0.15686275,91.5546875,,,,,0.04901961,85.25,,,0.0195122,"Justin Wilson",4301,458677
"Joel Peguero","SFG",0.66984127,99.90047393,0.33015873,91.68269231,,,,,,,,,,,0.01892744,"Joel Peguero",21951,666711
"Brandon Eisert","CHW",0.35032895,89.58920188,0.35773026,85.1816092,,,,,0.29194079,83.64507042,,,,,0.01889893,"Brandon Eisert",27668,685126
"Mason Fluharty","TOR",0.00116414,92,0.41676368,81.69553073,0.58207218,90.248,,,,,,,,,0.01862631,"Mason Fluharty",31553,689254
"JoJo Romero","STL",0.38181818,93.82539683,0.39191919,83.00773196,0.0010101,90,,,0.22525253,87.29147982,,,,,0.01816347,"JoJo Romero",19574,668941
"Jack Dreyer","LAD",0.45113438,92.71760155,0.46160558,88.10396975,,,0.08726003,78.95,,,,,,,0.0174216,"Jack Dreyer",30249,676263
"Tyler Gilbert","CHW",0.43742551,90.10899183,0.30154946,81.09881423,0.18355185,87.75324675,,,,,0.07747318,82.95384615,,,0.01664685,"Tyler Gilbert",17964,656457
"Trevor Megill","MIL",0.60557769,99.21491228,,,,,0.39442231,87.61616162,,,,,,,0.01593625,"Trevor Megill",17722,656730
"Reid Detmers","LAA",0.47553093,95.89320388,0.3056325,88.4652568,,,0.2179132,73.99152542,0.00092336,85,,,,,0.01568266,"Reid Detmers",27468,672282
"Connor Brogdon","LAA",0.4202381,95.5325779,,,0.16071429,86.86666667,,,0.41904762,84.04829545,,,,,0.01547619,"Connor Brogdon",21205,641401
"José Fermin","LAA",0.50697674,96.8440367,0.49147287,89.66246057,,,,,0.00155039,93,,,,,0.01538462,"Jose Fermin",33908,820862
"Ryan Helsley","- - -",0.45454545,99.36404494,,,0.48723187,89.03144654,0.05822268,80.85964912,,,,,,,0.01527495,"Ryan Helsley",18138,664854
"Ryan Fernandez","STL",0.3778626,95.29292929,0.47137405,86.72874494,0.07061069,91.35135135,,,0.08015267,87.19047619,,,,,0.01526718,"Ryan Fernandez",24862,681676
"Lyon Richardson","CIN",0.49554896,95.34730539,0.00148368,84,,,0.09792285,79.3030303,0.40504451,86.63736264,,,,,0.0148368,"Lyon Richardson",24581,680689
"Tim Hill","NYY",0.95661846,88.65930233,0.04226919,84.71052632,0.00111235,86,,,,,,,,,0.01444444,"Tim Hill",16814,657612
"Hogan Harris","ATH",0.56888889,93.48125,0.03111111,78.17142857,0.04088889,87.45652174,0.22755556,73.58203125,0.13155556,82.02027027,,,,,0.01422222,"Hogan Harris",21520,663687
"Mike Vasil","CHW",0.53948967,94.47747748,0.15795869,81.69615385,0.05710814,86.06382979,0.12393682,81.71078431,0.12150668,86.655,,,,,0.01394785,"Mike Vasil",30105,678024
"Yimi García","TOR",0.59331476,95.86384977,0.3454039,85.16935484,0.00557103,92,,,0.03899721,89.28571429,0.01671309,90.66666667,,,0.01388889,"Yimi Garcia",12095,554340
"Brock Burke","LAA",0.50493097,95.73046875,0.27514793,87.91756272,,,,,0.2199211,88.82511211,,,,,0.01380671,"Brock Burke",17968,656271
"Lucas Erceg","KCR",0.53894081,97.58766859,0.29387331,85.0565371,,,,,0.16718588,90.08074534,,,,,0.01348548,"Lucas Erceg",19360,668674
"Wandy Peralta","SDP",0.48857645,95.41726619,0.16695958,87.97368421,,,,,0.34446397,88.94132653,,,,,0.01314636,"Wandy Peralta",14295,593974
"Chase Shugart","PIT",0.38583815,94.86516854,0.28757225,80.97487437,0.25433526,89.92045455,,,0.07225434,88.22,,,,,0.01298701,"Chase Shugart",21544,663767
