"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Devers, Rafael",646240,"SF","FF","4-Seam Fastball",1,14,"1306",42.7,"262","0.252","0.518","0.391",34.8,29.4,18.3,"0.24","0.528","0.382",64.1
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",-1,-10,"1018",36.5,"260","0.248","0.358","0.307",5.9,4.2,4.6,"0.259","0.349","0.308",12.7
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",0.8,10,"1239",41.2,"258","0.285","0.469","0.383",10.5,9.7,7.9,"0.29","0.449","0.375",28.1
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.2,2,"998",40.5,"256","0.33","0.485","0.368",5.2,3.9,4.4,"0.281","0.372","0.307",19.9
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",1.4,15,"1082",36.8,"253","0.282","0.587","0.413",15.9,14.6,11.7,"0.283","0.55","0.403",53.1
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.7,7,"988",37.7,"252","0.276","0.491","0.386",25.4,23.4,21.8,"0.262","0.445","0.365",54.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",1.7,16,"966",34.1,"250","0.23","0.594","0.389",26.3,28.4,22.8,"0.233","0.591","0.386",52.4
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",1.6,15,"911",32.6,"248","0.256","0.558","0.381",18.1,15.3,14.4,"0.264","0.6","0.395",52.7
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",0.3,3,"978",37.1,"246","0.284","0.398","0.373",9.1,8.9,10.5,"0.259","0.367","0.346",34.4
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0.3,3,"877",34.1,"239","0.247","0.502","0.361",11.5,13,13.5,"0.255","0.505","0.346",43.7
"Trout, Mike",545361,"LAA","FF","4-Seam Fastball",1.3,15,"1123",45.2,"237","0.233","0.497","0.378",29.2,34.6,22.5,"0.198","0.46","0.357",51.4
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",0.7,8,"1078",39.5,"235","0.282","0.426","0.38",21.5,18.7,14.4,"0.247","0.373","0.349",26
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",-0.2,-3,"1078",39.7,"229","0.212","0.353","0.321",20,24.9,19.6,"0.239","0.437","0.36",50.8
"Yastrzemski, Mike",573262,"KC","FF","4-Seam Fastball",-0.8,-8,"922",40,"225","0.204","0.387","0.308",18,20,18.2,"0.227","0.462","0.343",47.3
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",0.9,9,"1043",33,"225","0.272","0.511","0.392",27.5,24.4,15.4,"0.238","0.502","0.374",58.8
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",-1,-9,"884",39.3,"225","0.247","0.34","0.317",12.4,18.2,17.9,"0.242","0.314","0.303",35.1
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",1,8,"763",32,"223","0.305","0.527","0.396",21.8,15.7,17.1,"0.288","0.535","0.379",47.6
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",-0.2,-2,"850",33.8,"221","0.237","0.407","0.325",29.1,29.9,24.8,"0.224","0.405","0.317",47.3
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",-0.5,-5,"950",36.5,"220","0.247","0.403","0.332",23.1,22.7,16.2,"0.252","0.451","0.351",52.1
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",0.7,6,"830",31,"216","0.29","0.56","0.393",31.8,25,23.6,"0.248","0.516","0.36",56.1
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",0.3,2,"823",35.6,"214","0.295","0.437","0.365",10.1,10.3,10.6,"0.27","0.374","0.332",26.7
"Arozarena, Randy",668227,"SEA","FF","4-Seam Fastball",0.3,2,"909",31.6,"214","0.219","0.472","0.356",31.1,29.9,21.1,"0.239","0.527","0.384",63.8
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",1.5,13,"857",29.9,"212","0.255","0.596","0.395",28.7,25.9,26.8,"0.282","0.71","0.445",68.7
"Greene, Riley",682985,"DET","FF","4-Seam Fastball",-0.2,-2,"951",35.1,"212","0.24","0.427","0.32",27.1,30.2,19.5,"0.233","0.476","0.332",41.9
"Lowe, Nathaniel",663993,"BOS","FF","4-Seam Fastball",0.1,1,"1025",39.3,"212","0.263","0.425","0.351",25.8,29.2,19,"0.255","0.429","0.351",44.5
"Story, Trevor",596115,"BOS","FF","4-Seam Fastball",-0.5,-4,"868",35.1,"211","0.234","0.335","0.29",23,27.5,21.1,"0.24","0.405","0.302",54
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",0.2,2,"876",40.7,"210","0.247","0.432","0.322",30.9,27.6,20.2,"0.245","0.468","0.329",54.8
"Bellinger, Cody",641355,"NYY","FF","4-Seam Fastball",0.5,4,"818",31.5,"210","0.246","0.486","0.358",17.3,14.3,12.9,"0.254","0.49","0.358",38.5
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-0.5,-4,"686",31.3,"209","0.247","0.405","0.319",17.1,13.4,16.8,"0.291","0.479","0.359",48.5
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",0.2,1,"847",36,"209","0.292","0.432","0.361",8.4,10,9.7,"0.297","0.414","0.352",36
"Grisham, Trent",663757,"NYY","FF","4-Seam Fastball",1.4,12,"812",33.9,"206","0.254","0.527","0.409",20.4,19.9,20.1,"0.252","0.573","0.405",55.8
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0.6,6,"1015",41.2,"205","0.287","0.5","0.384",16.7,20,12.5,"0.251","0.435","0.342",37
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",2.4,18,"736",29.5,"204","0.322","0.684","0.45",26.4,25,24.3,"0.285","0.616","0.413",58.6
"Cronenworth, Jake",630105,"SD","FF","4-Seam Fastball",1.1,10,"882",40.4,"203","0.283","0.428","0.408",11.7,11.8,8.4,"0.258","0.434","0.391",41.5
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-0.9,-7,"776",32.9,"203","0.214","0.318","0.3",14.4,14.3,11.9,"0.234","0.399","0.333",40
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",3.5,28,"801",26.2,"203","0.279","0.767","0.475",25.5,25.1,21.6,"0.276","0.749","0.465",62.8
"Albies, Ozzie",645277,"ATL","FF","4-Seam Fastball",0.9,6,"725",30.3,"202","0.236","0.444","0.343",21.1,17.3,16.8,"0.22","0.408","0.314",37.2
"Torres, Gleyber",650402,"DET","FF","4-Seam Fastball",0.8,7,"824",31.1,"202","0.278","0.424","0.391",21.4,16.8,12.3,"0.304","0.562","0.431",50.8
"Tucker, Kyle",663656,"CHC","FF","4-Seam Fastball",1.5,10,"703",30.5,"201","0.264","0.509","0.4",12.4,10.9,13.3,"0.283","0.6","0.43",49.3
"Wood, James",695578,"WSH","FF","4-Seam Fastball",1.4,11,"791",27.4,"200","0.299","0.576","0.404",24,34,28.8,"0.303","0.62","0.42",71.8
"Turang, Brice",668930,"MIL","FF","4-Seam Fastball",0.3,3,"1014",36.6,"198","0.309","0.491","0.398",20.6,25.3,16.8,"0.269","0.456","0.368",59
"Betts, Mookie",605141,"LAD","FF","4-Seam Fastball",1.6,13,"794",32.3,"197","0.327","0.5","0.411",7.4,6.1,7.6,"0.324","0.535","0.418",38.2
"Nootbaar, Lars",663457,"STL","FF","4-Seam Fastball",0,0,"747",31.7,"196","0.28","0.393","0.345",10.6,14.3,16.1,"0.276","0.485","0.373",56.3
"Collins, Isaac",686555,"MIL","FF","4-Seam Fastball",-0.3,-2,"784",43.8,"195","0.244","0.3","0.335",21.6,18.5,16.2,"0.233","0.322","0.319",35.7
"Vargas, Miguel",678246,"CWS","FF","4-Seam Fastball",-0.6,-5,"856",36.8,"193","0.211","0.416","0.325",21.8,19.2,14.8,"0.205","0.387","0.312",44.2
"Swanson, Dansby",621020,"CHC","FF","4-Seam Fastball",-1.5,-9,"637",25.3,"192","0.233","0.409","0.301",30.2,29.2,28.1,"0.284","0.541","0.372",62.1
"Tatis Jr., Fernando",665487,"SD","FF","4-Seam Fastball",1.1,8,"745",28.3,"192","0.317","0.545","0.413",20.9,15.6,16.4,"0.285","0.565","0.403",61.6
"Schanuel, Nolan",694384,"LAA","FF","4-Seam Fastball",0.6,4,"760",35.3,"191","0.288","0.429","0.377",10.6,9.4,10.1,"0.251","0.363","0.339",31.4
