"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",1.3,20,"1628",53.7,"437","0.23","0.38","0.306",16.9,19,17.7,"0.259","0.465","0.342",46.6
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",-0.4,-6,"1501",55.5,"417","0.269","0.447","0.358",10.7,8.9,10.1,"0.306","0.529","0.394",54.2
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",0.6,9,"1595",52,"415","0.208","0.357","0.3",23.5,26,20.6,"0.209","0.387","0.303",44.6
"Soriano, José",667755,"LAA","SI","Sinker",0.1,2,"1368",49.1,"412","0.29","0.38","0.357",16.1,7.8,13.3,"0.286","0.414","0.353",54.7
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",1.5,23,"1526",61.9,"405","0.207","0.36","0.281",19.1,22.7,17.4,"0.244","0.412","0.313",45.4
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.6,9,"1651",53.5,"395","0.209","0.381","0.314",22.8,23.5,17.6,"0.237","0.46","0.348",41.8
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-1.7,-22,"1316",57.6,"376","0.356","0.542","0.437",13,10.4,11.9,"0.327","0.531","0.41",49
"Valdez, Framber",664285,"HOU","SI","Sinker",1.2,15,"1306",45.2,"376","0.277","0.378","0.33",13.1,8.5,19.8,"0.304","0.457","0.361",50.6
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",1.4,19,"1332",46,"375","0.269","0.342","0.313",14.5,14.9,23.1,"0.259","0.411","0.322",50.5
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.5,21,"1383",48.5,"366","0.183","0.326","0.263",24.9,30.3,25.8,"0.214","0.439","0.321",54.3
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",1.2,17,"1403",50.2,"354","0.208","0.392","0.284",26.8,29.9,23,"0.195","0.406","0.279",44.7
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",0.3,4,"1405",44.8,"353","0.244","0.413","0.324",12.9,17.8,16.3,"0.264","0.499","0.357",52.3
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",-0.8,-10,"1199",44.1,"345","0.33","0.528","0.417",14.1,9,12.7,"0.305","0.478","0.371",45.9
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",0.9,12,"1386",46.4,"343","0.2","0.406","0.292",26.5,26.5,17.6,"0.193","0.408","0.286",49.3
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",1.2,15,"1263",47.2,"330","0.232","0.365","0.302",19.9,23,18.5,"0.224","0.384","0.303",40.7
"Boyd, Matthew",571510,"CHC","FF","4-Seam Fastball",0.8,10,"1292",47.1,"326","0.251","0.403","0.301",15.6,16.3,14.2,"0.272","0.469","0.336",45.5
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",0.2,3,"1327",46.9,"323","0.264","0.444","0.348",17,22.9,19.2,"0.264","0.477","0.352",47.7
"Bassitt, Chris",605135,"TOR","SI","Sinker",0.2,2,"1177",41.6,"322","0.297","0.431","0.371",14.4,14.6,18.7,"0.292","0.45","0.356",44.4
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1.7,18,"1084",37.4,"318","0.17","0.243","0.207",45.1,40.9,29.8,"0.183","0.235","0.203",25.7
"Holmes, Clay",605280,"NYM","SI","Sinker",0.9,10,"1130",40.9,"315","0.286","0.39","0.362",16.6,11.1,19.7,"0.272","0.403","0.361",51.3
"Cease, Dylan",656302,"SD","FF","4-Seam Fastball",0,0,"1282",42.1,"314","0.241","0.417","0.341",25.8,23.6,18.7,"0.215","0.385","0.316",40.3
"Rodriguez, Eduardo",593958,"AZ","FF","4-Seam Fastball",-0.5,-6,"1177",45.5,"311","0.285","0.489","0.371",22.9,26.7,24.1,"0.255","0.465","0.346",44.8
"deGrom, Jacob",594798,"TEX","FF","4-Seam Fastball",1.7,21,"1203",46,"310","0.189","0.393","0.275",21.5,24.5,20.5,"0.216","0.423","0.3",43.9
"Cease, Dylan",656302,"SD","SL","Slider",0.3,4,"1247",41,"309","0.228","0.374","0.303",42.8,37.5,23,"0.201","0.32","0.263",35.3
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",0,0,"1388",49.3,"309","0.294","0.483","0.371",20.7,16.5,15.6,"0.29","0.504","0.379",47.8
"Giolito, Lucas",608337,"BOS","FF","4-Seam Fastball",0.4,5,"1145",48.4,"303","0.267","0.389","0.343",16,15.2,16.8,"0.299","0.523","0.389",48.6
"Hendricks, Kyle",543294,"LAA","CH","Changeup",0.6,6,"987",38.4,"299","0.223","0.364","0.268",25.3,17.7,14.5,"0.227","0.363","0.27",26.4
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0.5,7,"1344",41.8,"299","0.224","0.429","0.342",21.4,18.7,17.4,"0.23","0.436","0.342",42.5
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.7,21,"1279",47.1,"299","0.153","0.332","0.241",28.8,31.8,22.2,"0.177","0.356","0.259",37.4
"Webb, Logan",657277,"SF","SI","Sinker",0.7,8,"1102",33.6,"297","0.295","0.439","0.348",12.8,15.5,21.9,"0.276","0.429","0.33",45.9
"Singer, Brady",663903,"CIN","SI","Sinker",-0.5,-6,"1157",40.6,"297","0.269","0.469","0.37",17.1,23.9,21.3,"0.253","0.443","0.357",49.4
"Pepiot, Ryan",686752,"TB","FF","4-Seam Fastball",-0.2,-2,"1211",44.9,"296","0.235","0.444","0.361",25.4,25,19.3,"0.211","0.381","0.33",46.5
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",0.8,9,"1138",37.6,"296","0.181","0.294","0.232",38.6,34.5,21.5,"0.193","0.294","0.228",29.7
"Kikuchi, Yusei",579328,"LAA","SL","Slider",0.4,4,"1121",36.2,"295","0.254","0.443","0.366",25,20,20,"0.264","0.475","0.379",44.4
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",1.7,20,"1167",38.9,"294","0.205","0.347","0.28",29.6,34.7,26.2,"0.2","0.368","0.28",53.3
"Warren, Will",701542,"NYY","FF","4-Seam Fastball",1,11,"1165",41.6,"291","0.216","0.384","0.31",23.2,24.7,21.9,"0.236","0.443","0.342",45.9
"Strider, Spencer",675911,"ATL","FF","4-Seam Fastball",-0.6,-6,"1081",51.2,"290","0.294","0.472","0.374",15.3,13.8,18.1,"0.301","0.533","0.392",43.3
"Smith, Shane",681343,"CWS","FF","4-Seam Fastball",1.8,20,"1089",45,"285","0.192","0.304","0.275",25.3,26,23.6,"0.199","0.344","0.286",39.9
"Priester, Quinn",682990,"MIL","SI","Sinker",0.6,6,"1028",41.7,"284","0.269","0.375","0.334",13.4,13.4,18.5,"0.272","0.387","0.328",41.5
"Rea, Colin",607067,"CHC","FF","4-Seam Fastball",0,0,"1052",41.5,"283","0.283","0.48","0.363",16.9,16.6,17,"0.276","0.492","0.357",49.3
"deGrom, Jacob",594798,"TEX","SL","Slider",1.2,12,"983",37.6,"281","0.201","0.326","0.254",39,30.6,25.9,"0.225","0.358","0.274",38.9
"Bello, Brayan",678394,"BOS","SI","Sinker",0.8,7,"943",35,"280","0.251","0.305","0.337",10.8,14.3,19.1,"0.27","0.361","0.335",39.8
"Verlander, Justin",434378,"SF","FF","4-Seam Fastball",-0.1,-1,"1182",45.3,"280","0.279","0.48","0.375",18.8,15,13.4,"0.293","0.528","0.383",41.5
"Hendricks, Kyle",543294,"LAA","SI","Sinker",-0.8,-8,"987",38.4,"277","0.3","0.482","0.38",9.7,11.9,14.3,"0.27","0.422","0.329",39.6
"Morton, Charlie",450203,"ATL","CU","Curveball",-0.1,-1,"976",38.3,"275","0.228","0.386","0.318",37.9,32.4,23.2,"0.207","0.354","0.292",35.1
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",-0.6,-7,"1211",42.5,"275","0.265","0.457","0.34",15.4,17.8,14.2,"0.27","0.484","0.357",44.5
"Elder, Bryce",693821,"ATL","SI","Sinker",-0.7,-7,"1058",42.1,"272","0.28","0.477","0.365",15.2,18,22.2,"0.256","0.463","0.344",49.2
"Falter, Bailey",663559,"KC","FF","4-Seam Fastball",0.2,2,"992",50.8,"272","0.253","0.44","0.338",15.8,13.6,12.9,"0.26","0.453","0.341",44.9
"Valdez, Framber",664285,"HOU","CU","Curveball",-0.2,-2,"957",33.1,"271","0.193","0.298","0.273",43.7,44.6,29.9,"0.163","0.24","0.235",39
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-1,-9,"873",47,"270","0.328","0.457","0.384",14.6,8.5,13.3,"0.297","0.436","0.366",53.7
"Paddack, Chris",663978,"DET","FF","4-Seam Fastball",0.2,2,"1095",42.7,"268","0.263","0.436","0.328",18.6,18.7,13.2,"0.263","0.474","0.337",47.5
"Skubal, Tarik",669373,"DET","CH","Changeup",2.8,25,"895",31.4,"265","0.154","0.227","0.176",46.8,41.5,29.5,"0.166","0.253","0.188",27.8
"Leiter, Jack",683004,"TEX","FF","4-Seam Fastball",1.1,11,"1003",38.8,"265","0.189","0.293","0.288",21.9,25.7,18,"0.215","0.404","0.331",48.7
"Burke, Sean",680732,"CWS","FF","4-Seam Fastball",-0.2,-2,"1023",43.1,"265","0.239","0.385","0.339",24.7,29.1,21.4,"0.204","0.382","0.311",43
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",-0.9,-10,"1059",48.7,"262","0.227","0.567","0.356",15.9,12.2,11.3,"0.247","0.594","0.375",51.2
"Baz, Shane",669358,"TB","FF","4-Seam Fastball",0.4,5,"1194",43.9,"261","0.244","0.406","0.35",23.5,23.8,20.6,"0.236","0.395","0.339",42.9
"Crochet, Garrett",676979,"BOS","FF","4-Seam Fastball",-0.7,-8,"1141",36.2,"261","0.26","0.485","0.361",30.2,37.9,25.8,"0.205","0.417","0.305",50.7
"Sale, Chris",519242,"ATL","SL","Slider",2.4,23,"960",47.3,"257","0.143","0.218","0.191",39.8,44,28.3,"0.148","0.227","0.196",25.2
"Elder, Bryce",693821,"ATL","SL","Slider",0.1,1,"883",35.1,"257","0.259","0.427","0.326",31.8,21.8,20.1,"0.263","0.421","0.318",40.2
"Houser, Adrian",605288,"TB","SI","Sinker",0.7,6,"869",45.9,"256","0.293","0.427","0.35",10.6,12.1,17.4,"0.275","0.414","0.334",52.7
"Sears, JP",676664,"SD","FF","4-Seam Fastball",-1.2,-11,"951",40.2,"256","0.289","0.534","0.386",20.5,22.3,16.3,"0.257","0.493","0.35",46
